Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (Â°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (Â°C),Cruise (),DV Position (%),EOI Actual (Â°),EOI Limit (Â°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (Â°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (Â°C),Ign Table (Â°),Ign Avg (Â°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (Â°),Intake Flow Fact (),Knock Avg (Â°),Knock Cyl 1 (Â°),Knock Cyl 2 (Â°),Knock Cyl 3 (Â°),Knock Cyl 4 (Â°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (Â°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (Â°),SOI Limit (Â°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (Â°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),Misfire Carb A 1 (),Misfire Carb A 2 (-),Misfire Carb A 3 (-),Misfire Carb A 4 (-),Misfire Sum (),CPU Load (%),Fuel Flow HPFP (mg/stk),Fuel Flow LPFP (g/min),Fuel Level Pct (%),Knock Retard Now (-),Leak Upthrottle Now (-),Misfire Now (-),Oil fill level (mm),SP / PUT (),Turbo Protection Status (),Torque Max (Nm),mil_last (-),mil_new (-),lih_tqi_last (-),lih_tqi_new (-),tqi_mon_1_last (-),tqi_mon_1_new (-),pos_tqi_mon_1_new (-),pos_tqi_new (-),pos_lih_tqi_new (-),pos_mil_new (-),cumulative_new_trigger (-),tq_prot_last (-),tq_prot_new (-),Power Class (-),SimosTools [R1.35:2024_3_14:MWB_A.bin]
1708.123,-2.6090007,0.032450106,0.29062957,0.29164013,100.405045,23.308264,13.472968,-2.8040898,98.296135,34.1216,50.401,24.7,6.209,18.96,31.588,0.0,93.062485,0.0,0.0,453.0,215.625,2474.0,0.0,-8.078125,0.10131836,109.55063,14846.615,15005.286,1100.0834,634.1532,16.765072,21.978987,0.0,6.868946,5.0,32.232666,36.23965,17.999977,17.624977,1.58,0.0,-28.875,0.12219238,0.0,0.0,0.0,0.0,0.0,0.9785156,1.0,64.06708,2.3437495,81.05313,81.49158,0.0,99.99994,11.71875,1.0,111.250435,81.781555,476.625,649.875,4.5576572,82.9375,0.0,81.40625,13.537935,89.99995,41.082764,1.0,101.42,36.65625,0.0,-85.75134,58.148193,0.0,3.515625,101.42,101.23,101.09,100.06,0.0,0.0,0.0,0.0,0.0,59.277344,16.765072,111.34148,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.15,-2.6072006,0.031730045,0.2904528,0.29121628,100.40503,23.308264,13.468187,-2.8075154,97.807724,33.952057,50.401,24.729,6.209,18.96,31.588,0.0,93.0966,0.0,0.0,453.0,215.625,2476.0,0.0,-8.0234375,0.10131836,109.55063,14917.194,14898.621,1100.0834,634.1532,15.493384,21.894209,0.0,6.901407,5.0,31.680298,36.22471,17.999977,17.624977,1.58,0.0,-28.84375,0.12194824,0.0,0.0,0.0,0.0,0.0,0.97558594,1.0,64.08081,2.3437495,80.98081,81.39427,0.0,99.99994,11.71875,1.0,111.33336,81.756676,476.625,649.875,4.739876,82.875,0.0,81.4375,13.537935,89.99995,41.241455,1.0,101.43,36.59375,0.0,-85.69031,58.099365,0.0,3.515625,101.5,101.21,101.05,100.14,0.0,0.0,0.0,0.0,0.0,59.277344,15.493384,107.04994,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.182,-2.6257606,0.012692018,0.2898664,0.29134342,100.405014,23.308264,13.458981,-2.818005,97.855804,33.99621,50.401,24.761,6.209,18.96,31.588,0.0,93.1239,0.0,0.0,453.75,215.625,2472.0,0.0,-7.9921875,0.10058594,109.476006,14845.554,14961.7705,1100.0834,634.1532,18.185122,21.68226,0.0,7.0836253,5.0,32.969666,36.21126,17.999977,17.624977,1.516,0.0,-28.820312,0.12164307,0.0,0.0,0.0,0.0,0.0,0.9746094,1.0,64.07471,2.3437495,80.96777,81.42207,0.0,99.99994,11.71875,1.0,111.36653,81.731804,476.625,649.875,4.8856506,82.59375,0.0,81.46875,13.537935,89.99995,41.271973,1.0,101.38,36.5,0.0,-85.83374,58.19702,0.0,3.515625,101.49,101.3,101.06,99.93,0.0,0.0,0.0,0.0,0.0,58.88672,18.185122,108.95729,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,824.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.21,-2.6406085,0.0050768075,0.29006988,0.29125866,100.405,23.308264,13.440818,-2.8198946,49.902477,17.308674,50.401,24.788,6.209,18.96,31.588,0.0,93.14574,0.0,0.0,453.75,215.625,2473.0,0.0,-7.96875,0.10058594,109.49259,14882.7,14984.59,1100.0834,634.1532,16.150423,21.873014,0.0,7.2294,5.0,31.951904,36.199158,17.999977,17.624977,1.536,0.0,-28.804688,0.12164307,0.0,0.0,0.0,0.0,0.0,0.9824219,1.0,64.079285,2.3437495,80.95925,81.43794,0.0,99.99994,11.71875,1.0,111.31678,81.72351,476.625,649.875,4.84602,82.71875,0.0,81.4375,13.537935,89.99995,41.1438,1.0,101.32,36.5,0.0,-85.849,58.172607,0.0,3.515625,101.46,101.35,101.29,100.04,0.0,0.0,0.0,0.0,0.0,58.88672,16.150423,107.52678,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.243,-2.6524868,0.020780724,0.28937396,0.29125866,100.40498,23.308264,13.445682,-2.8211286,50.003864,17.350857,50.401,24.82,6.209,18.96,31.588,0.0,93.16321,0.0,0.0,453.75,215.25,2474.0,0.0,-7.8671875,0.101257324,109.4843,14993.611,14937.891,1100.0834,634.1532,15.91728,21.449118,0.0,7.1897697,5.0,32.01294,36.188267,17.999977,17.249977,1.536,0.0,-28.78125,0.12121582,0.0,0.0,0.0,0.0,0.0,0.98535156,1.0,64.097595,2.3437495,81.08858,81.56534,0.0,99.99994,11.71875,1.0,111.33336,81.71522,476.625,649.875,4.8143163,82.84375,0.0,81.46875,13.537935,89.99995,41.259766,1.0,101.27,36.375,0.0,-85.92529,58.148193,0.0,3.515625,101.58,101.12,101.09,100.14,0.0,0.0,0.0,0.0,0.0,58.88672,15.91728,106.573105,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.272,-2.6819894,0.02706229,0.29339892,0.291513,100.40497,23.308264,13.443227,-2.802364,97.89626,33.98279,50.401,24.848,6.209,18.96,31.588,0.0,93.177185,0.0,0.0,453.75,215.25,2475.0,0.0,-7.859375,0.101257324,109.52576,14962.832,15079.58,1100.0834,634.1532,17.676447,22.042572,0.0,7.158066,5.0,32.777405,36.178463,17.999977,17.249977,1.536,0.0,-28.742188,0.12207031,0.0,0.0,0.0,0.0,0.0,0.9902344,1.0,64.09149,2.3437495,81.46351,81.464165,0.0,99.99994,11.71875,1.0,111.41628,81.706924,476.625,649.875,4.788953,83.5625,0.0,81.4375,14.004761,89.99995,41.674805,1.0,101.5,36.625,0.0,-86.04431,58.12378,0.0,3.515625,101.52,101.28,101.05,99.93,0.0,0.0,0.0,0.0,0.0,58.88672,17.676447,108.71887,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,823.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.302,-2.7055914,0.029574916,0.29508743,0.2878675,100.40495,23.308264,13.435649,-2.747968,97.64395,33.90891,50.401,24.881,6.209,18.96,31.588,0.0,93.18836,0.0,0.0,453.75,215.25,2475.0,0.0,-7.84375,0.10058594,109.49259,15064.721,15072.681,1100.0834,634.1532,16.129229,22.127352,0.0,7.1327024,5.0,32.12738,36.16964,17.999977,17.249977,1.536,0.0,-28.734375,0.119018555,0.0,0.0,0.0,0.0,0.0,0.99316406,1.0,64.09149,2.3437495,81.69732,80.882164,0.0,99.99994,11.5234375,1.0,111.40798,81.60743,476.625,649.875,4.612412,84.53125,0.0,80.25,14.004761,89.99995,41.51001,1.0,101.29,35.71875,0.0,-85.961914,58.099365,0.0,3.515625,101.54,101.05,101.21,100.38,0.0,0.0,0.0,0.0,0.0,58.88672,16.129229,108.48045,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,823.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.332,-2.7044733,0.030579967,0.2914642,0.28769794,100.40494,23.308264,13.430345,-2.7140453,98.142235,34.081947,50.401,24.91,6.209,18.96,31.588,0.0,93.1973,0.0,0.0,454.125,215.25,2470.0,0.0,-7.78125,0.10064697,109.57551,15110.358,15007.939,1100.0834,634.1532,15.408606,21.449118,0.0,6.9561615,5.0,31.855774,36.161697,17.999977,17.249977,1.528,0.0,-28.703125,0.117370605,0.0,0.0,0.0,0.0,0.0,0.9951172,1.0,64.079285,2.3437495,81.26628,80.87113,0.0,99.99994,11.5234375,1.0,111.55724,81.49963,477.0,649.875,4.4711795,83.75,0.0,80.125,13.537935,89.99995,41.314697,1.0,101.34,35.21875,0.0,-86.56311,58.251953,0.0,3.515625,101.46,101.21,101.05,100.17,0.0,0.0,0.0,0.0,0.0,58.88672,15.408606,110.14938,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,823.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.359,-2.7035787,0.04973199,0.28962088,0.28824902,100.40492,23.308264,13.426632,-2.7765768,98.01067,33.9675,50.401,24.94,6.209,18.96,31.588,0.0,93.20446,0.0,0.0,454.125,215.25,2475.0,0.0,-7.796875,0.10070801,109.63355,15170.325,14940.013,1100.0834,634.1532,12.907621,21.555092,0.0,6.814929,5.0,30.68695,36.154552,17.999977,17.249977,1.516,0.0,-28.695312,0.11834717,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.086914,2.3437495,80.884674,80.936325,0.0,99.99994,11.5234375,1.0,111.73966,81.408424,477.0,649.875,4.3581934,82.40625,0.0,80.125,13.537935,89.99995,41.6687,1.0,101.34,35.5,0.0,-87.10632,58.12378,0.0,3.515625,101.52,101.0,101.06,100.63,0.0,0.0,0.0,0.0,0.0,58.88672,12.907621,107.28836,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1708.389,-2.702863,0.0573928,0.28845015,0.27943203,100.40491,23.308264,13.424033,-2.831937,118.22087,41.054672,50.401,24.97,6.209,18.96,31.588,0.0,93.21018,0.0,0.0,454.125,215.625,2470.0,0.0,-7.703125,0.099487305,109.426254,15142.7295,14873.148,1100.0834,634.1532,12.526115,21.533897,0.0,6.701943,5.0,30.511475,36.14812,17.999977,17.624977,1.516,0.0,-28.742188,0.1104126,0.0,0.0,0.0,0.0,0.0,0.99902344,1.0,64.089966,2.3437495,80.758965,79.74189,0.0,99.99994,10.839844,1.0,111.63186,80.877754,477.0,649.875,4.2678046,82.09375,0.0,75.65625,13.537935,89.99995,41.516113,1.0,101.38,33.125,0.0,-86.7157,58.251953,0.0,3.515625,101.5,101.03,101.16,100.09,0.0,0.0,0.0,0.0,0.0,58.88672,12.526115,106.33469,85.882355,0.0,0.0,1.0,52.9375,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
